Source,Target,Weight,Type
С.П.Кулябка,Н.М.Карамзин,1,directed
С.П.Кулябка,М.В.Ломоносов,1,directed
С.П.Кулябка,Е.Прокопович,1,directed
Н.Г.Курганов,Г.И.Громов,1,directed
Н.Г.Курганов,А.И.Дубровский,1,directed
Н.Г.Курганов,М.В.Ломоносов,1,directed
Н.Г.Курганов,М.И.Попов,1,directed
Н.Г.Курганов,А.А.Ржевский,1,directed
Н.Г.Курганов,М.П.Семенов,1,directed
Н.Г.Курганов,П.С.Семенов,1,directed
Н.Г.Курганов,А.П.Сумароков,1,directed
Н.Г.Курганов,В.К.Тредиаковский,1,directed
Н.Г.Курганов,М.М.Херасков,1,directed
А.М.Кутузов,М.И.Багрянский,1,directed
А.М.Кутузов,ЕкатеринаII,1,directed
А.М.Кутузов,Н.М.Карамзин,1,directed
А.М.Кутузов,И.В.Лопухин,1,directed
А.М.Кутузов,Н.И.Новиков,1,directed
А.М.Кутузов,Н.И.Панин,1,directed
А.М.Кутузов,А.А.Петров,1,directed
А.М.Кутузов,А.Н.Радищев,1,directed
А.М.Кутузов,И.П.Тургенев,1,directed
П.И.Кювилье,ЕкатеринаII,1,directed
А.Ф.Лабзин,Г.П.Гагарин,1,directed
А.Ф.Лабзин,Г.Р.Державин,1,directed
А.Ф.Лабзин,Д.И.Дмитревский,1,directed
А.Ф.Лабзин,ЕкатеринаII,1,directed
А.Ф.Лабзин,Ф.П.Ключарев,1,directed
А.Ф.Лабзин,Е.Ф.Лифанов,1,directed
А.Ф.Лабзин,И.В.Лопухин,1,directed
А.Ф.Лабзин,М.Л.Магницкий,1,directed
А.Ф.Лабзин,Н.И.Новиков,1,directed
А.Ф.Лабзин,В.М.Протопопов,1,directed
А.Ф.Лабзин,П.А.Сохацкий,1,directed
А.Ф.Лабзин,И.П.Тургенев,1,directed
А.Ф.Лабзин,Д.И.Фонвизин,1,directed
А.Ф.Лабзин,А.П.Хвостова,1,directed
А.Ф.Лабзин,Х.А.Чеботарев,1,directed
И.Б.Лафинов,ЕкатеринаII,1,directed
В.Лащевский,А.Д.Байбаков,1,directed
В.Лащевский,Н.Н.Бантыш-Каменский,1,directed
В.Лащевский,И.Блонницкий,1,directed
В.Лащевский,И.Быковский,1,directed
